Geneid	Brain	Duodenum	Hatchling_Brain	Hatchling_Carapace	Hatchling_Kidney	Kidney	Liver	Lung	merged	Sciatic_Nerve	Skeletal_Muscle	Spinal_Cord	Testis
G14667	0	0	1	0	0	0	0	0	1	0	0	0	0
G14668	1	0	0	0	0	0	0	0	1	0	0	0	0
G14669	0	0	0	0	0	0	0	0	0	0	0	0	0
G14670	0	0	0	0	0	0	0	0	1	0	0	1	0
G14671	0	0	0	2	0	0	0	1	3	0	0	0	0
G14672	17	17	42	32	3	12	10	41	251	0	26	23	28
G14673	0	0	0	1	0	0	0	1	3	0	0	1	0
G14674	0	1	0	1	0	1	1	0	4	0	0	0	0
G14675	35	2	8	47	9	13	69	6	247	1	9	43	5
G14676	22	9	13	25	6	7	10	16	126	1	3	10	4
G14677	0	0	0	0	0	0	0	0	0	0	0	0	0
G14678	9	0	2	10	0	6	0	5	51	1	3	6	9
G14679	0	0	1	3	0	7	4	0	16	0	0	0	1
G14680	31	28	31	35	4	14	34	20	284	3	12	20	52
G14681	0	0	0	0	0	0	0	0	0	0	0	0	0
G14682	0	0	0	0	0	10	0	0	13	0	0	0	3
G14683	0	0	0	0	0	0	0	0	0	0	0	0	0
G14684	0	0	0	0	0	0	0	0	0	0	0	0	0
G14685	0	0	0	0	0	0	0	0	0	0	0	0	0
G14686	0	0	0	0	0	0	0	0	0	0	0	0	0
G14687	0	0	0	0	0	0	0	0	0	0	0	0	0
G14688	9	15	28	29	1	19	9	12	211	3	14	23	49
G14689	1	8	1	1	0	0	0	0	11	0	0	0	0
G14690	4	1	0	0	0	2	1	0	13	0	0	5	0
G14691	0	0	0	0	0	0	0	0	1	0	0	1	0
G14692	9	13	2	9	0	3	1	6	54	0	1	8	2
G14693	3	2	0	0	0	0	0	0	12	0	0	0	7
G14694	32	0	23	0	0	2	0	1	118	0	0	8	52
G14695	0	0	0	0	0	0	0	0	3	0	0	0	3
G14696	0	0	0	0	0	0	0	0	0	0	0	0	0
G14697	8	3	3	10	1	7	4	12	64	1	5	5	5
G14698	0	0	0	0	0	0	0	0	6	0	3	2	1
G14699	1	3	1	0	0	0	1	0	23	0	0	2	15
G14700	68	45	132	123	12	87	22	63	1010	2	131	83	242
G14701	49	11	30	20	4	30	7	17	276	1	11	32	64
G14702	1	11	0	0	0	27	0	0	41	0	0	2	0
G14703	7	1	1	9	0	34	10	34	166	0	15	8	47
G14704	0	0	0	0	0	1	0	5	68	0	1	0	61
G14705	5	0	43	48	8	10	10	4	143	0	1	8	6
G14706	21	10	42	39	7	21	9	29	427	0	82	26	141
G14707	0	0	0	0	0	0	0	0	0	0	0	0	0
G14708	33	0	56	0	0	0	0	0	106	0	0	12	5
G14709	0	0	0	0	0	0	0	0	0	0	0	0	0
G14710	0	0	0	0	0	0	0	0	1	0	0	0	1
G14711	0	0	0	0	0	0	0	0	0	0	0	0	0
G14712	0	0	0	0	0	0	0	0	0	0	0	0	0
G14713	0	0	1	0	0	0	0	0	1	0	0	0	0
G14714	0	0	0	0	0	1	0	0	1	0	0	0	0
G14715	0	0	0	0	0	0	0	0	2	0	0	2	0
G14716	0	0	0	0	0	0	0	0	0	0	0	0	0
G14717	0	0	0	0	0	0	0	0	0	0	0	0	0
G14718	0	0	0	0	0	0	0	0	0	0	0	0	0
G14719	0	0	0	0	0	0	0	0	0	0	0	0	0
G14720	1	4	0	0	0	0	0	0	7	0	0	2	0
G14721	0	0	0	0	0	0	0	0	0	0	0	0	0
G14722	0	0	0	0	0	2	0	1	3	0	0	0	0
G14723	52	18	46	26	6	53	56	4	363	0	28	29	45
